bin,count,mean_confidence,accuracy,gap
3,378,0.2531897000692509,0.12962962962962962,-0.12356007043962128
4,6739,0.3125640789953745,0.25018548746104763,-0.062378591534326844
5,40005,0.3726042572073215,0.32048493938257716,-0.05211931782474433
6,88651,0.4371490818762532,0.3580106259376657,-0.07913845593858748
7,199409,0.5039160797174089,0.411796859720474,-0.09211921999693495
8,236938,0.5667011047297823,0.4513923473651335,-0.1153087573646488
9,243552,0.6335331173022642,0.4916773420049928,-0.14185577529727145
10,261968,0.7006223443930845,0.5300952788126794,-0.1705270655804051
11,299213,0.767373313497646,0.5776486984188521,-0.1897246150787939
12,380586,0.8352444023774853,0.6424960455718287,-0.1927483568056566
13,611024,0.9034561291366278,0.7182025583283145,-0.18525357080831328
14,4840497,0.9877166477751188,0.9173431984360284,-0.0703734493390904
