bin,count,mean_confidence,accuracy,gap
2,18,0.1970286178920004,0.5,0.30297138210799957
3,7610,0.25067623250783666,0.2888304862023653,0.03815425369452863
4,74276,0.3089277728636923,0.33208573428833,0.02315796142463772
5,204727,0.3701224143814918,0.38158132537476736,0.011458910993275562
6,341560,0.43566672122336086,0.4502839910996604,0.014617269876299521
7,436560,0.5000222629789841,0.5096115081546637,0.009589245175679606
8,427448,0.5666474215836222,0.5936254234433194,0.02697800185969712
9,455022,0.6340915825309641,0.6641547002122974,0.030063117681333296
10,511397,0.7007932131099434,0.7420379861438374,0.04124477303389407
11,631903,0.7680100989210661,0.8049194259245486,0.036909327003482484
12,915989,0.8362649608318652,0.8784417716806643,0.042176810848799096
13,1531767,0.9018377266077376,0.9408376078084983,0.0389998812007607
14,1670683,0.9665309215449537,0.9693454712833015,0.002814549738347827
